"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","doubledash-us-treatment-min-119-0 Value","doubledash-us-treatment-min-119-0 Exposure Volume","doubledash-us-treatment-min-119-0 Absolute Impact","doubledash-us-treatment-min-119-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-119-0 Relative Impact","doubledash-us-treatment-min-119-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-119-0 P Value","doubledash-us-treatment-min-119-0 Significance","doubledash-us-treatment-min-119-0 Coverage","doubledash-us-treatment-min-119-0 Relative Global Lift","doubledash-us-treatment-min-119-0 Absolute Global Lift","doubledash-us-treatment-min-149-0 Value","doubledash-us-treatment-min-149-0 Exposure Volume","doubledash-us-treatment-min-149-0 Absolute Impact","doubledash-us-treatment-min-149-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-149-0 Relative Impact","doubledash-us-treatment-min-149-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-149-0 P Value","doubledash-us-treatment-min-149-0 Significance","doubledash-us-treatment-min-149-0 Coverage","doubledash-us-treatment-min-149-0 Relative Global Lift","doubledash-us-treatment-min-149-0 Absolute Global Lift"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.079838","22,459,406","0.079909","21,797,003","0.000071","[-0.000133, +0.000275]","0.000889","[-0.167%, +0.3449%]","0.495908","-","0.800210","0.000712","0.000698","0.079727","21,803,134","-0.000111","[-0.000316, +0.000094]","-0.001390","[-0.3956%, +0.1176%]","0.288251","-","0.800210","-0.001113","-0.001091"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.037390","12,778,363","0.037431","12,398,435","0.000047","[-0.000064, +0.000159]","0.001263","[-0.1722%, +0.4248%]","0.406974","-","0.909857","0.001161","0.000043","0.036954","12,399,856","-0.000437","[-0.000548, -0.000326]","-0.011690","[-1.4661%, -0.8719%]","0.000000","Significant","0.909857","-0.010748","-0.000398"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.039111","12,268,455","0.039177","11,899,812","0.000066","[-0.000053, +0.000186]","0.001694","[-0.1357%, +0.4745%]","0.276454","-","0.938426","0.001607","0.000062","0.038723","11,904,380","-0.000388","[-0.000506, -0.000269]","-0.009911","[-1.2946%, -0.6875%]","0.000000","Significant","0.938426","-0.009399","-0.000364"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.004887","12,268,455","0.004935","11,899,812","0.000048","[+0.000003, +0.000094]","0.009835","[+0.0529%, +1.9142%]","0.038328","Significant","0.959061","0.009594","0.000046","0.004922","11,904,380","0.000034","[-0.00001, +0.000079]","0.007050","[-0.2139%, +1.6239%]","0.132673","-","0.959061","0.006876","0.000033"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.025719","1,922,193","0.025779","1,869,319","0.000060","[-0.000167, +0.000288]","0.002350","[-0.651%, +1.1211%]","0.603119","-","0.922023","0.002174","0.000056","0.025791","1,850,496","0.000073","[-0.000156, +0.000302]","0.002828","[-0.6078%, +1.1735%]","0.533660","-","0.922023","0.002615","0.000067"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.024492","378,427","0.024884","369,405","0.000392","[-0.000098, +0.000882]","0.016010","[-0.3994%, +3.6014%]","0.116732","-","0.193233","0.002939","0.000075","0.024927","364,614","0.000435","[-0.000057, +0.000927]","0.017762","[-0.232%, +3.7843%]","0.082995","-","0.193233","0.003259","0.000084"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.023736","83,337","0.023828","80,763","0.000093","[-0.00103, +0.001215]","0.003898","[-4.3398%, +5.1193%]","0.871679","-","0.038446","0.000139","0.000004","0.023770","80,577","0.000034","[-0.0011, +0.001168]","0.001430","[-4.6362%, +4.9221%]","0.953249","-","0.038446","0.000051","0.000001"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.026147","1,484,120","0.026122","1,442,524","-0.000025","[-0.00029, +0.000239]","-0.000969","[-1.1074%, +0.9137%]","0.850976","-","0.688816","-0.000681","-0.000017","0.026129","1,428,436","-0.000018","[-0.000284, +0.000247]","-0.000695","[-1.0852%, +0.9462%]","0.893354","-","0.688816","-0.000488","-0.000013"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.025719","1,922,193","0.025778","1,869,316","0.000060","[-0.000168, +0.000288]","0.002331","[-0.6529%, +1.1191%]","0.606111","-","0.922022","0.002156","0.000055","0.025791","1,850,496","0.000073","[-0.000156, +0.000302]","0.002828","[-0.6078%, +1.1735%]","0.533660","-","0.922022","0.002615","0.000067"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.024904","1,837,850","0.025001","1,786,870","0.000097","[-0.000136, +0.000329]","0.003880","[-0.5444%, +1.3204%]","0.414739","-","0.858985","0.003237","0.000083","0.024993","1,767,621","0.000088","[-0.000145, +0.000322]","0.003552","[-0.582%, +1.2925%]","0.457573","-","0.858985","0.002963","0.000076"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.036904","190,898","0.036374","185,874","-0.000530","[-0.001552, +0.000491]","-0.014367","[-4.2044%, +1.3309%]","0.308929","-","0.062909","-0.001308","-0.000034","0.036543","186,564","-0.000361","[-0.001384, +0.000662]","-0.009782","[-3.751%, +1.7946%]","0.489293","-","0.062909","-0.000886","-0.000023"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.026438","1,963,150","0.026610","1,909,366","0.000173","[-0.000057, +0.000403]","0.006533","[-0.2164%, +1.523%]","0.140951","-","0.921676","0.005937","0.000159","0.026466","1,890,042","0.000028","[-0.000202, +0.000259]","0.001069","[-0.7647%, +0.9785%]","0.810068","-","0.921676","0.000971","0.000026"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.026455","1,877,333","0.026651","1,825,509","0.000196","[-0.000042, +0.000433]","0.007406","[-0.1572%, +1.6385%]","0.105940","-","0.858684","0.006274","0.000168","0.026493","1,805,721","0.000038","[-0.0002, +0.000276]","0.001446","[-0.7552%, +1.0443%]","0.752816","-","0.858684","0.001224","0.000033"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.026196","195,592","0.026053","190,454","-0.000143","[-0.001027, +0.00074]","-0.005473","[-3.9209%, +2.8262%]","0.750485","-","0.062864","-0.000338","-0.000009","0.026097","191,169","-0.000099","[-0.000982, +0.000783]","-0.003792","[-3.7481%, +2.9897%]","0.825404","-","0.062864","-0.000233","-0.000006"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.024116","385,454","0.024498","376,330","0.000383","[-0.000102, +0.000867]","0.015866","[-0.4217%, +3.5948%]","0.121516","-","0.192726","0.002735","0.000073","0.024478","371,540","0.000363","[-0.000122, +0.000848]","0.015043","[-0.5067%, +3.5153%]","0.142613","-","0.192726","0.002592","0.000070"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.024046","85,174","0.023324","82,518","-0.000722","[-0.0018, +0.000356]","-0.030039","[-7.4865%, +1.4787%]","0.189042","-","0.038323","-0.001035","-0.000028","0.023539","82,327","-0.000507","[-0.001601, +0.000586]","-0.021101","[-6.6564%, +2.4362%]","0.362986","-","0.038323","-0.000721","-0.000019"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.027202","1,516,857","0.027357","1,474,451","0.000155","[-0.000114, +0.000424]","0.005700","[-0.4175%, +1.5576%]","0.257905","-","0.689086","0.003986","0.000107","0.027159","1,459,875","-0.000043","[-0.000312, +0.000226]","-0.001579","[-1.1475%, +0.8317%]","0.754508","-","0.689086","-0.001103","-0.000030"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.983129","24,524","0.982319","24,117","-0.000810","[-0.003122, +0.001502]","-0.000824","[-0.3175%, +0.1527%]","0.492221","-","0.005502","-0.000166","-0.000004","0.981993","23,458","-0.001136","[-0.00347, +0.001198]","-0.001156","[-0.3529%, +0.1218%]","0.339969","-","0.005502","-0.000233","-0.000006"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.020701","1,942,511","0.020810","1,889,163","0.000108","[-0.000097, +0.000314]","0.005240","[-0.4705%, +1.5185%]","0.301732","-","0.916165","0.003707","0.000099","0.020755","1,870,233","0.000054","[-0.000153, +0.00026]","0.002586","[-0.739%, +1.2561%]","0.611435","-","0.916165","0.001829","0.000049"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.151775","1,963,219","4.154683","1,909,441","0.002908","[-0.004393, +0.01021]","0.000700","[-0.1058%, +0.2459%]","0.435029","-","0.921670","0.000649","0.002680","4.158008","1,890,106","0.006233","[-0.001065, +0.013531]","0.001501","[-0.0257%, +0.3259%]","0.094152","-","0.921670","0.001390","0.005743"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","0.000000","24,527","0.000268","24,119","0.000268","[-0.000037, +0.000572]","","[]","0.084837","-","0.005502","0.000000","0.000001","0.000000","23,460","0.000000","[0, 0]","","[]","1.000000","-","0.005502","0.000000","0.000000"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.176672","1,942,577","4.179900","1,889,237","0.003228","[-0.004097, +0.010553]","0.000773","[-0.0981%, +0.2527%]","0.387787","-","0.916159","0.000716","0.002957","4.182861","1,870,295","0.006189","[-0.001132, +0.01351]","0.001482","[-0.0271%, +0.3235%]","0.097558","-","0.916159","0.001372","0.005669"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.152453","1,877,404","4.154841","1,825,586","0.002388","[-0.005041, +0.009817]","0.000575","[-0.1214%, +0.2364%]","0.528719","-","0.858681","0.000496","0.002050","4.158303","1,805,787","0.005850","[-0.001594, +0.013293]","0.001409","[-0.0384%, +0.3201%]","0.123473","-","0.858681","0.001215","0.005021"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.142478","195,592","4.152542","190,454","0.010064","[-0.012307, +0.032434]","0.002429","[-0.2971%, +0.783%]","0.377929","-","0.062860","0.000154","0.000636","4.154053","191,169","0.011575","[-0.010153, +0.033303]","0.002794","[-0.2451%, +0.8039%]","0.296433","-","0.062860","0.000176","0.000728"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.922142","385,463","3.924423","376,338","0.002281","[-0.013331, +0.017893]","0.000582","[-0.3399%, +0.4562%]","0.774604","-","0.192720","0.000106","0.000437","3.929720","371,545","0.007578","[-0.008107, +0.023263]","0.001932","[-0.2067%, +0.5931%]","0.343667","-","0.192720","0.000351","0.001452"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.207354","85,177","4.221203","82,524","0.013849","[-0.027013, +0.054712]","0.003292","[-0.6421%, +1.3004%]","0.506511","-","0.038325","0.000129","0.000532","4.223971","82,329","0.016618","[-0.024115, +0.05735]","0.003950","[-0.5732%, +1.3631%]","0.423940","-","0.038325","0.000153","0.000633"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.212038","1,516,916","4.214090","1,474,515","0.002053","[-0.006216, +0.010322]","0.000487","[-0.1476%, +0.2451%]","0.626571","-","0.689084","0.000342","0.001415","4.217000","1,459,936","0.004963","[-0.003304, +0.013229]","0.001178","[-0.0784%, +0.3141%]","0.239343","-","0.689084","0.000827","0.003418"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.920474","1,963,215","0.920127","1,909,438","-0.000347","[-0.000757, +0.000064]","-0.000376","[-0.0823%, +0.007%]","0.098280","-","0.921670","-0.000347","-0.000319","0.920357","1,890,104","-0.000117","[-0.000529, +0.000296]","-0.000127","[-0.0575%, +0.0321%]","0.578612","-","0.921670","-0.000117","-0.000108"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.920856","1,877,400","0.920440","1,825,583","-0.000417","[-0.00084, +0.000007]","-0.000452","[-0.0913%, +0.0008%]","0.054031","-","0.858681","-0.000389","-0.000358","0.920739","1,805,785","-0.000117","[-0.000542, +0.000309]","-0.000127","[-0.0589%, +0.0335%]","0.590583","-","0.858681","-0.000109","-0.000100"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.915223","195,592","0.915876","190,454","0.000653","[-0.000876, +0.002183]","0.000714","[-0.0957%, +0.2385%]","0.402487","-","0.062860","0.000045","0.000041","0.915204","191,169","-0.000019","[-0.001554, +0.001515]","-0.000021","[-0.1698%, +0.1656%]","0.980333","-","0.062860","-0.000001","-0.000001"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.923315","385,463","0.922596","376,338","-0.000719","[-0.001619, +0.000182]","-0.000778","[-0.1753%, +0.0197%]","0.117665","-","0.192720","-0.000150","-0.000138","0.922655","371,545","-0.000660","[-0.001564, +0.000243]","-0.000715","[-0.1694%, +0.0264%]","0.152061","-","0.192720","-0.000137","-0.000127"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.931102","85,177","0.931550","82,524","0.000448","[-0.001461, +0.002356]","0.000481","[-0.1569%, +0.2531%]","0.645703","-","0.038325","0.000019","0.000017","0.931940","82,329","0.000838","[-0.001073, +0.002749]","0.000900","[-0.1152%, +0.2952%]","0.389955","-","0.038325","0.000035","0.000032"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.919123","1,516,912","0.918847","1,474,512","-0.000276","[-0.000749, +0.000198]","-0.000300","[-0.0815%, +0.0215%]","0.253807","-","0.689084","-0.000206","-0.000190","0.919110","1,459,934","-0.000013","[-0.000489, +0.000463]","-0.000014","[-0.0532%, +0.0504%]","0.957617","-","0.689084","-0.000010","-0.000009"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.016871","24,524","0.017600","24,117","0.000729","[-0.00158, +0.003038]","0.043214","[-9.3645%, +18.0073%]","0.536002","-","0.005502","0.000004","0.000004","0.018006","23,458","0.001135","[-0.001199, +0.003469]","0.067288","[-7.1041%, +20.5617%]","0.340392","-","0.005502","0.000007","0.000006"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.925892","1,942,576","0.925605","1,889,235","-0.000287","[-0.000689, +0.000115]","-0.000310","[-0.0744%, +0.0124%]","0.161884","-","0.916160","-0.000286","-0.000263","0.925750","1,870,295","-0.000142","[-0.000546, +0.000261]","-0.000154","[-0.0589%, +0.0282%]","0.490024","-","0.916160","-0.000141","-0.000130"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.017957","1,922,259","0.018057","1,869,397","0.000100","[-0.00011, +0.00031]","0.005571","[-0.6108%, +1.7251%]","0.349819","-","0.922017","0.005174","0.000092","0.018000","1,850,559","0.000043","[-0.000168, +0.000254]","0.002380","[-0.9358%, +1.4118%]","0.691062","-","0.922017","0.002210","0.000039"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.018268","1,837,918","0.018376","1,786,950","0.000108","[-0.000111, +0.000326]","0.005892","[-0.6063%, +1.7848%]","0.334050","-","0.858983","0.005186","0.000092","0.018302","1,767,685","0.000034","[-0.000185, +0.000254]","0.001864","[-1.0154%, +1.3882%]","0.761137","-","0.858983","0.001640","0.000029"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.013685","190,898","0.013720","185,874","0.000035","[-0.000616, +0.000686]","0.002544","[-4.5032%, +5.0121%]","0.916520","-","0.062906","0.000124","0.000002","0.013931","186,565","0.000246","[-0.000407, +0.000898]","0.017961","[-2.971%, +6.5632%]","0.460234","-","0.062906","0.000868","0.000015"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.017957","1,922,259","0.018058","1,869,390","0.000100","[-0.000109, +0.00031]","0.005596","[-0.6084%, +1.7276%]","0.347703","-","0.922015","0.005197","0.000093","0.018000","1,850,558","0.000043","[-0.000168, +0.000254]","0.002380","[-0.9358%, +1.4117%]","0.691121","-","0.922015","0.002209","0.000039"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.019017","378,436","0.018817","369,414","-0.000200","[-0.000679, +0.000279]","-0.010507","[-3.5706%, +1.4692%]","0.413798","-","0.193226","-0.002153","-0.000038","0.018698","364,619","-0.000319","[-0.000803, +0.000165]","-0.016765","[-4.2214%, +0.8683%]","0.196624","-","0.193226","-0.003435","-0.000061"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.014357","83,340","0.014649","80,769","0.000292","[-0.000644, +0.001228]","0.020308","[-4.4882%, +8.5498%]","0.541492","-","0.038448","0.000631","0.000011","0.014415","80,579","0.000058","[-0.000861, +0.000977]","0.004057","[-5.9971%, +6.8084%]","0.901174","-","0.038448","0.000125","0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.017864","1,484,176","0.018034","1,442,590","0.000170","[-0.000069, +0.00041]","0.009543","[-0.3844%, +2.2931%]","0.162361","-","0.688814","0.006588","0.000117","0.018006","1,428,496","0.000142","[-0.000098, +0.000383]","0.007973","[-0.55%, +2.1446%]","0.246086","-","0.688814","0.005501","0.000098"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.008259","1,922,195","0.008305","1,869,327","0.000046","[-0.000094, +0.000185]","0.005533","[-1.1356%, +2.2422%]","0.520823","-","0.922023","0.005138","0.000042","0.008282","1,850,499","0.000023","[-0.000116, +0.000161]","0.002757","[-1.4015%, +1.9528%]","0.747335","-","0.922023","0.002560","0.000021"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.007935","378,427","0.008076","369,406","0.000140","[-0.000153, +0.000433]","0.017685","[-1.9258%, +5.4627%]","0.348113","-","0.193233","0.003287","0.000027","0.008165","364,614","0.000230","[-0.000064, +0.000524]","0.028988","[-0.805%, +6.6026%]","0.125037","-","0.193233","0.005387","0.000044"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.006721","83,337","0.006585","80,763","-0.000135","[-0.000707, +0.000436]","-0.020114","[-10.5134%, +6.4906%]","0.642876","-","0.038445","-0.000635","-0.000005","0.006410","80,577","-0.000310","[-0.000896, +0.000275]","-0.046164","[-13.3292%, +4.0965%]","0.299060","-","0.038445","-0.001445","-0.000012"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.008436","1,484,122","0.008458","1,442,531","0.000022","[-0.000141, +0.000186]","0.002655","[-1.6743%, +2.2053%]","0.788515","-","0.688816","0.001881","0.000015","0.008415","1,428,439","-0.000021","[-0.000183, +0.000142]","-0.002448","[-2.1679%, +1.6783%]","0.802969","-","0.688816","-0.001734","-0.000014"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.008315","1,837,852","0.008377","1,786,878","0.000063","[-0.000082, +0.000208]","0.007566","[-0.9863%, +2.4995%]","0.394868","-","0.858985","0.006589","0.000054","0.008328","1,767,623","0.000014","[-0.00013, +0.000157]","0.001654","[-1.5633%, +1.8941%]","0.851223","-","0.858985","0.001440","0.000012"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.007500","190,898","0.007314","185,874","-0.000186","[-0.000655, +0.000282]","-0.024830","[-8.7288%, +3.7628%]","0.435869","-","0.062909","-0.001437","-0.000012","0.007656","186,565","0.000156","[-0.000317, +0.00063]","0.020837","[-4.2315%, +8.399%]","0.517833","-","0.062909","0.001200","0.000010"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.000000","2","0.000000","9","0.000000","[0, 0]","","[]","1.000000","-","0.000001","0.000000","0.000000","0.000000","3","0.000000","[0, 0]","","[]","1.000000","-","0.000001","0.000000","0.000000"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.008259","1,922,194","0.008305","1,869,318","0.000046","[-0.000094, +0.000185]","0.005530","[-1.1359%, +2.242%]","0.521003","-","0.922021","0.005136","0.000042","0.008282","1,850,496","0.000023","[-0.000116, +0.000161]","0.002756","[-1.4016%, +1.9527%]","0.747419","-","0.922021","0.002559","0.000021"
"dbd_avg_o2_package","Metric","N/A","","mean","0.656172","1,922,193","0.656192","1,869,319","0.000020","[-0.000831, +0.000871]","0.000031","[-0.1266%, +0.1328%]","0.963018","-","0.922023","0.000029","0.000019","0.655965","1,850,496","-0.000207","[-0.001061, +0.000647]","-0.000315","[-0.1617%, +0.0987%]","0.634976","-","0.922023","-0.000294","-0.000191"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.616233","378,427","0.615284","369,405","-0.000948","[-0.002903, +0.001007]","-0.001539","[-0.4711%, +0.1633%]","0.341695","-","0.193233","-0.000280","-0.000182","0.616026","364,614","-0.000207","[-0.002169, +0.001755]","-0.000336","[-0.352%, +0.2848%]","0.836319","-","0.193233","-0.000061","-0.000040"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.664616","83,337","0.666882","80,763","0.002266","[-0.002125, +0.006657]","0.003410","[-0.3197%, +1.0016%]","0.311768","-","0.038446","0.000134","0.000087","0.661393","80,577","-0.003222","[-0.00777, +0.001325]","-0.004848","[-1.1691%, +0.1994%]","0.164882","-","0.038446","-0.000189","-0.000123"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.666887","1,484,120","0.667019","1,442,524","0.000132","[-0.000822, +0.001087]","0.000198","[-0.1233%, +0.163%]","0.786049","-","0.688816","0.000140","0.000091","0.666813","1,428,436","-0.000074","[-0.001031, +0.000883]","-0.000111","[-0.1546%, +0.1323%]","0.879344","-","0.688816","-0.000079","-0.000051"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.656172","1,922,193","0.656192","1,869,316","0.000020","[-0.000831, +0.000872]","0.000031","[-0.1266%, +0.1328%]","0.962419","-","0.922022","0.000029","0.000019","0.655965","1,850,496","-0.000207","[-0.001061, +0.000647]","-0.000315","[-0.1617%, +0.0987%]","0.634976","-","0.922022","-0.000294","-0.000191"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.640127","1,837,850","0.639947","1,786,870","-0.000179","[-0.001056, +0.000697]","-0.000280","[-0.1649%, +0.1088%]","0.688114","-","0.858985","-0.000237","-0.000154","0.639481","1,767,621","-0.000646","[-0.001526, +0.000234]","-0.001009","[-0.2383%, +0.0366%]","0.150272","-","0.858985","-0.000853","-0.000554"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.876519","190,898","0.877327","185,874","0.000808","[-0.001305, +0.002921]","0.000922","[-0.1488%, +0.3333%]","0.453346","-","0.062909","0.000079","0.000051","0.877855","186,564","0.001336","[-0.000776, +0.003448]","0.001524","[-0.0885%, +0.3934%]","0.214995","-","0.062909","0.000129","0.000084"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.673681","1,963,219","0.673843","1,909,441","0.000162","[-0.000649, +0.000973]","0.000241","[-0.0963%, +0.1444%]","0.694930","-","0.921670","0.000224","0.000150","0.673628","1,890,106","-0.000052","[-0.000866, +0.000762]","-0.000077","[-0.1285%, +0.113%]","0.899942","-","0.921670","-0.000072","-0.000048"
